Time (minutes),glu,la,vc
0,77.07847,14.24669,13.26285
0.25,77.18883,14.33379,13.40175
0.5,77.24594,14.33642,13.20886
0.75,77.18222,14.41055,13.37131
1,77.13202,14.29935,13.4069
1.25,77.15008,14.19217,13.44311
1.5,77.21856,14.32958,13.42508
1.75,77.25566,14.35207,13.26389
2,77.30961,14.20795,13.38141
2.25,77.30817,14.1897,13.4651
2.5,77.3492,14.25349,13.42321
2.75,77.38758,14.13384,13.28435
3,77.39865,14.30363,13.33258
3.25,77.43777,14.33757,13.25871
3.5,77.45546,14.24365,13.21221
3.75,77.49184,14.33003,13.29039
4,77.49003,14.23963,13.25858
4.25,77.54344,14.28702,13.4025
4.5,77.59392,14.16433,13.31131
4.75,77.61854,14.34948,13.33266
5,77.64368,14.26847,13.3199
5.25,77.67682,14.34182,13.45906
5.5,77.72083,14.38102,13.48408
5.75,77.74237,14.47345,13.521
6,77.76905,14.56919,13.52322
6.25,77.77585,14.67382,13.58694
6.5,77.80839,14.7622,13.494
6.75,77.81751,14.89384,13.59557
7,77.86683,14.99092,13.61803
7.25,77.86229,15.09791,13.60645
7.5,77.91897,15.1907,13.49548
7.75,77.92816,15.27971,13.60389
8,77.95993,15.36717,13.55183
8.25,78.01214,15.45528,13.68749
8.5,78.04703,15.54627,13.57962
8.75,78.09031,15.64236,13.6286
9,78.10034,15.74575,13.52085
9.25,78.14857,15.85868,13.58432
9.5,78.19478,15.98335,13.5734
9.75,78.21894,16.12187,13.50701
10,78.24513,16.27357,13.5411
10.25,78.27614,16.43504,13.53718
10.5,78.31123,16.60275,13.49546
10.75,78.31468,16.77316,13.51112
11,78.33816,16.94274,13.52602
11.25,78.36491,17.10795,13.55591
11.5,78.39168,17.26526,13.55353
11.75,78.40402,17.41114,13.55145
12,78.41953,17.54204,13.54942
12.25,78.43061,17.65444,13.54723
12.5,78.46724,17.74485,13.54465
12.75,78.47883,17.81355,13.54145
13,78.47637,17.86708,13.53741
13.25,78.51752,17.9126,13.53233
13.5,78.53315,17.95723,13.52642
13.75,78.55089,18.00812,13.52036
