vitaminC,lactate,glucose
6.145143,8.926667,84.32867
6.045143,8.936667,85.32867
5.945143,8.9536667,84.32867
6.145143,8.936667,85.32867
6.245143,9.036667,86.32867
6.145143,9.136667,86.32867
6.045143,8.936662,87.32867
6.245143,9.096667,87.32867
6.145143,9.136663,88.32867
6.045143,8.996667,87.32867
6.145143,9.236667,89.32867
6.045143,9.2667,89.32867
5.996286,9.222,90.1536
6.177714,9.14,88.0356
6.145143,8.926667,84.32867
6.045143,8.936667,85.32867
6.145143,,84.32867
6.045143,,85.32867
5.945143,,84.32867
6.145143,,85.32867
6.245143,,86.32867
6.145143,,86.32867
6.045143,,87.32867
6.245143,,87.32867
6.145143,,88.32867
6.045143,,87.32867
6.145143,,89.32867
6.045143,,89.32867
5.996286,,90.1536
6.177714,,88.0356
6.145143,,84.32867
6.045143,,85.32867
5.945143,8.9536667,84.32867
6.145143,8.936667,85.32867
6.245143,9.036667,86.32867
6.145143,9.136667,86.32867
6.045143,8.936662,87.32867
6.145143,9.096667,84.32867
6.045143,9.136663,85.32867
5.945143,8.996667,84.32867
6.145143,9.236667,85.32867
6.245143,9.2667,86.32867
6.145143,9.222,86.32867
6.045143,9.14,87.32867
6.145143,8.936667,84.32867
6.045143,9.036667,85.32867
5.945143,9.136667,84.32867
6.145143,8.936667,85.32867
6.245143,9.036667,86.32867
6.145143,9.136667,86.32867
6.045143,8.936667,87.32867
6.245143,9.036667,87.32867
6.145143,9.136667,88.32867
6.045143,8.936667,87.32867
6.145143,9.036667,89.32867
6.045143,9.136667,89.32867
5.996286,9.222,90.1536
6.177714,9.04,88.0356
6.145143,8.936667,84.32867
6.045143,9.036667,85.32867
5.945143,9.136667,84.32867
6.145143,8.936667,85.32867
6.245143,9.036667,86.32867
6.145143,9.136667,86.32867
6.045143,8.936667,87.32867
6.145143,8.936667,84.32867
6.045143,9.036667,85.32867
5.945143,9.136667,84.32867
6.145143,8.936667,85.32867
6.245143,9.036667,86.32867
6.145143,9.136667,86.32867
6.045143,8.936667,87.32867
6.245143,9.036667,87.32867
6.145143,9.136667,88.32867
6.045143,8.936667,87.32867
6.145143,9.036667,89.32867
6.045143,9.136667,89.32867
5.996286,9.222,90.1536
6.177714,9.04,88.0356
6.145143,8.936667,84.32867
6.045143,9.036667,85.32867
5.945143,9.136667,84.32867
6.145143,8.936667,85.32867
6.245143,9.036667,86.32867
6.145143,9.136667,86.32867
6.045143,8.936667,87.32867
6.145143,8.936667,84.32867
6.045143,9.036667,85.32867
5.945143,9.136667,84.32867
6.145143,8.936667,85.32867
6.245143,9.036667,86.32867
6.145143,9.136667,86.32867
6.045143,8.936667,87.32867
6.145143,8.936667,84.32867
6.045143,9.036667,85.32867
5.945143,9.136667,84.32867
6.145143,8.936667,85.32867
6.245143,9.036667,86.32867
6.145143,9.136667,86.32867
6.045143,8.936667,87.32867
6.245143,9.036667,87.32867
6.145143,9.136667,88.32867
6.045143,8.936667,87.32867
6.145143,9.036667,89.32867
6.045143,9.136667,89.32867
5.996286,9.222,90.1536
6.177714,9.04,88.0356
6.145143,8.936667,84.32867
6.045143,9.036667,85.32867
5.945143,9.136667,84.32867
6.145143,8.936667,85.32867
