vitaminC,lactate,glucose
6.14514,9.036667,62.68074
6.04514,9.222,62.61389
6.10514,9.84,62.60191
6.10229,12.528,62.61939
6.12292,15.828,62.60136
6.11787,19.78108,62.61199
6.10292,23.79045,62.61985
6.11072,27.66645,62.64017
6.10889,29.59845,62.64287
6.09692,32.40761,62.66607
6.10627,35.00941,62.67618
6.10627,37.75218,62.67797
6.10627,40.5685,62.67537
6.12056,43.31056,62.68929
6.12056,44.9836,62.69501
6.11103,46.02558,62.69512
6.11103,46.63461,62.69211
6.11103,47.00555,62.69657
6.09918,46.73625,62.71045
6.10073,46.36393,62.72563
6.1055,45.96109,62.75933
6.10073,45.51949,62.77495
6.09597,44.8999,62.78902
6.10306,44.61608,62.80368
6.10627,44.27783,62.8154
6.10627,43.74992,62.85312
6.10627,43.42338,62.889
6.10627,42.78596,62.92464
6.10627,42.26145,62.96199
6.10627,41.65603,62.99646
6.10627,41.44886,63.0277
6.10627,40.92206,63.05395
6.10627,40.52141,63.08727
6.10627,39.56516,63.11967
6.10151,38.66389,63.14544
6.09675,37.43562,63.18147
6.09199,36.4135,63.21821
6.09199,35.59779,63.25658
6.10151,35.2946,63.28872
6.1086,35.09956,63.32228
6.10229,34.9988,63.35832
6.10705,35.05969,63.39432
6.11181,34.85969,63.43524
6.11657,34.55969,63.47198
6.11657,34.06028,63.51546
6.10705,33.38028,63.55801
6.09996,32.3252,63.58953
6.10627,31.5852,63.62847
6.10627,30.9252,63.67389
6.10627,30.5046,63.71584
6.10627,30.34132,63.75994
6.10627,30.24951,63.80256
6.10627,,63.8483
6.10627,,63.89836
6.10627,,63.94611
6.10627,,63.98577
6.10627,,64.02821
6.10627,,64.07321
6.10627,,64.11579
6.10627,,64.16032
6.10627,,64.19249
6.10627,,64.22867
6.10627,,64.266
6.10627,,64.30595
6.10627,,64.34802
6.10627,,64.38184
6.10627,,64.39155
6.10627,,64.40055
6.10627,,64.4114
6.10627,,64.42471
6.10627,,64.43937
6.10627,,64.45912
6.10627,,64.47899
6.10627,,64.49486
6.10627,,64.51251
6.10627,,64.52996
6.10627,,64.54398
6.10627,,64.5573
6.10627,,64.57133
6.10627,,64.58613
6.10627,,64.60159
6.10627,,64.61793
6.10627,,64.63399
6.10151,,64.64926
6.09675,,64.67042
6.09199,,64.68599
6.09199,,64.70004
6.10151,,64.72026
6.1086,,64.73554
6.10229,,64.75254
6.10705,,64.7651
6.11181,,64.77962
6.11657,,64.79641
6.11657,,64.81216
6.10705,,64.82617
6.09996,,64.83718
6.10627,,64.8555
6.10627,,64.86449
6.10627,,64.87236
6.10627,,64.88093
6.10627,,64.8894
6.10627,,64.90107
6.10627,,64.91399
6.10627,,64.92892
6.10627,,64.94573
6.10627,,64.96494
6.10627,,64.98553
6.10627,,65.00553
6.10627,,65.02852
6.10627,,65.05287
6.10627,,65.07816
6.10627,,65.1059
6.10627,,65.13442
6.10627,,65.16369
6.10627,,65.19264
6.10627,,65.21421
6.10627,,65.2284
6.10627,,65.24753
6.10627,,65.26939
6.10627,,65.2918
6.10627,,65.31736
6.10627,,65.34082
